source_id,target_id,distance_km,weight,edge_type
11,15,143.6,0.006964,PROXIMATE_TO
11,16,274.6,0.003642,PROXIMATE_TO
11,17,287.1,0.003483,PROXIMATE_TO
11,18,299.1,0.003343,PROXIMATE_TO
11,82,239.6,0.004174,PROXIMATE_TO
12,14,106.9,0.009358,PROXIMATE_TO
12,15,165.8,0.006031,PROXIMATE_TO
12,16,216.9,0.004611,PROXIMATE_TO
12,17,167.7,0.005962,PROXIMATE_TO
12,18,206.3,0.004847,PROXIMATE_TO
12,75,284.7,0.003512,PROXIMATE_TO
13,19,149.1,0.006707,PROXIMATE_TO
13,20,283.0,0.003533,PROXIMATE_TO
13,91,291.4,0.003432,PROXIMATE_TO
13,93,241.1,0.004147,PROXIMATE_TO
13,96,297.5,0.003362,PROXIMATE_TO
13,113,294.0,0.003402,PROXIMATE_TO
13,118,173.6,0.005762,PROXIMATE_TO
14,15,84.3,0.011862,PROXIMATE_TO
14,16,214.1,0.004671,PROXIMATE_TO
14,17,262.3,0.003812,PROXIMATE_TO
14,82,212.6,0.004704,PROXIMATE_TO
14,85,296.5,0.003373,PROXIMATE_TO
15,16,162.6,0.006151,PROXIMATE_TO
15,17,286.7,0.003488,PROXIMATE_TO
15,82,166.4,0.006008,PROXIMATE_TO
15,83,261.6,0.003823,PROXIMATE_TO
15,85,260.1,0.003845,PROXIMATE_TO
15,89,295.9,0.003379,PROXIMATE_TO
16,17,225.5,0.004434,PROXIMATE_TO
16,19,278.9,0.003585,PROXIMATE_TO
16,20,241.0,0.004149,PROXIMATE_TO
17,18,168.4,0.005938,PROXIMATE_TO
17,20,270.8,0.003693,PROXIMATE_TO
17,74,279.0,0.003584,PROXIMATE_TO
17,75,192.5,0.005195,PROXIMATE_TO
17,76,172.2,0.005807,PROXIMATE_TO
17,120,284.4,0.003516,PROXIMATE_TO
18,74,180.9,0.005528,PROXIMATE_TO
18,75,91.9,0.010884,PROXIMATE_TO
18,76,275.6,0.003629,PROXIMATE_TO
19,20,229.7,0.004353,PROXIMATE_TO
19,91,235.3,0.00425,PROXIMATE_TO
19,92,252.7,0.003957,PROXIMATE_TO
19,95,297.2,0.003365,PROXIMATE_TO
19,97,230.4,0.00434,PROXIMATE_TO
19,113,279.9,0.003572,PROXIMATE_TO
19,118,188.8,0.005298,PROXIMATE_TO
20,76,219.4,0.004557,PROXIMATE_TO
20,111,219.3,0.004559,PROXIMATE_TO
20,112,254.9,0.003924,PROXIMATE_TO
20,113,79.8,0.012527,PROXIMATE_TO
20,114,188.5,0.005305,PROXIMATE_TO
20,116,266.9,0.003747,PROXIMATE_TO
20,117,295.3,0.003387,PROXIMATE_TO
20,118,127.8,0.007825,PROXIMATE_TO
20,119,149.8,0.006675,PROXIMATE_TO
20,120,242.2,0.004129,PROXIMATE_TO
21,22,79.8,0.012524,PROXIMATE_TO
21,23,292.2,0.003423,PROXIMATE_TO
21,24,266.0,0.003759,PROXIMATE_TO
21,25,179.7,0.005565,PROXIMATE_TO
21,29,234.9,0.004258,PROXIMATE_TO
21,30,242.0,0.004133,PROXIMATE_TO
21,94,285.2,0.003507,PROXIMATE_TO
21,98,238.8,0.004188,PROXIMATE_TO
21,99,235.8,0.004241,PROXIMATE_TO
22,23,238.3,0.004197,PROXIMATE_TO
22,25,192.4,0.005196,PROXIMATE_TO
22,29,239.8,0.004169,PROXIMATE_TO
22,94,211.7,0.004723,PROXIMATE_TO
22,98,200.8,0.004981,PROXIMATE_TO
22,99,218.2,0.004583,PROXIMATE_TO
23,26,185.9,0.005378,PROXIMATE_TO
