source_district,target_district,best_lag_months,F_stat,p_value,significant,direction
39,36,2,16.5748,0.0,True,39→36
36,40,2,30.0355,0.0,True,36→40
40,36,2,20.4319,0.0,True,40→36
36,46,3,14.3155,0.0,True,36→46
46,36,2,13.6816,1e-05,True,46→36
36,47,2,18.1516,0.0,True,36→47
47,36,2,16.5309,0.0,True,47→36
36,48,2,17.1166,0.0,True,36→48
48,36,2,17.9546,0.0,True,48→36
36,49,2,12.9353,2e-05,True,36→49
49,36,2,16.3695,0.0,True,49→36
36,50,2,17.7182,0.0,True,36→50
50,36,2,17.5852,0.0,True,50→36
37,38,2,17.9005,0.0,True,37→38
38,37,2,19.7369,0.0,True,38→37
37,39,2,15.2812,0.0,True,37→39
39,37,2,22.7826,0.0,True,39→37
37,40,2,23.2379,0.0,True,37→40
40,37,2,15.1285,0.0,True,40→37
37,48,2,15.1864,0.0,True,37→48
48,37,2,13.9083,1e-05,True,48→37
37,49,2,13.3061,1e-05,True,37→49
49,37,2,17.6734,0.0,True,49→37
37,50,2,18.2601,0.0,True,37→50
50,37,2,22.953,0.0,True,50→37
38,39,2,18.7065,0.0,True,38→39
39,38,2,20.5424,0.0,True,39→38
38,40,2,18.4153,0.0,True,38→40
40,38,2,20.249,0.0,True,40→38
38,45,1,25.052,0.0,True,38→45
45,38,2,19.6895,0.0,True,45→38
38,46,3,14.2958,0.0,True,38→46
46,38,2,20.6365,0.0,True,46→38
38,47,2,17.9766,0.0,True,38→47
47,38,2,20.025,0.0,True,47→38
38,48,2,17.919,0.0,True,38→48
48,38,2,23.1388,0.0,True,48→38
38,49,2,11.6341,5e-05,True,38→49
49,38,2,18.8186,0.0,True,49→38
38,50,2,19.9182,0.0,True,38→50
50,38,2,21.6875,0.0,True,50→38
39,40,2,29.0769,0.0,True,39→40
40,39,3,13.5188,0.0,True,40→39
40,49,2,12.4843,3e-05,True,40→49
49,40,2,24.5078,0.0,True,49→40
41,42,2,15.6828,0.0,True,41→42
42,41,2,42.117,0.0,True,42→41
41,43,2,23.2265,0.0,True,41→43
43,41,2,37.7168,0.0,True,43→41
41,44,2,20.5563,0.0,True,41→44
44,41,2,40.8581,0.0,True,44→41
41,45,2,14.671,1e-05,True,41→45
45,41,2,37.3643,0.0,True,45→41
41,46,2,17.7368,0.0,True,41→46
46,41,2,30.4942,0.0,True,46→41
41,47,2,20.5809,0.0,True,41→47
47,41,2,40.5421,0.0,True,47→41
41,48,2,15.2599,0.0,True,41→48
48,41,2,34.7584,0.0,True,48→41
41,49,2,13.5162,1e-05,True,41→49
49,41,2,35.5889,0.0,True,49→41
42,43,2,17.0151,0.0,True,42→43
43,42,2,16.5383,0.0,True,43→42
42,44,2,24.2779,0.0,True,42→44
44,42,2,15.1569,0.0,True,44→42
42,45,1,21.0711,2e-05,True,42→45
45,42,2,16.9711,0.0,True,45→42
42,46,1,29.0729,0.0,True,42→46
46,42,2,18.5633,0.0,True,46→42
42,47,2,19.8166,0.0,True,42→47
47,42,2,18.2364,0.0,True,47→42
42,48,2,15.1542,0.0,True,42→48
48,42,2,20.5994,0.0,True,48→42
42,49,2,16.91,0.0,True,42→49
49,42,2,16.5159,0.0,True,49→42
43,44,2,19.716,0.0,True,43→44
44,43,2,16.2737,0.0,True,44→43
43,45,1,22.8754,1e-05,True,43→45
45,43,2,21.4356,0.0,True,45→43
43,46,1,28.7186,0.0,True,43→46
46,43,2,22.4935,0.0,True,46→43
43,47,2,19.9552,0.0,True,43→47
47,43,2,18.6654,0.0,True,47→43
43,48,2,12.501,3e-05,True,43→48
48,43,2,18.7098,0.0,True,48→43
43,49,2,12.7859,2e-05,True,43→49
49,43,2,17.1079,0.0,True,49→43
44,45,1,21.9808,1e-05,True,44→45
45,44,2,24.0368,0.0,True,45→44
44,46,1,27.1471,0.0,True,44→46
46,44,2,26.1497,0.0,True,46→44
44,47,2,18.173,0.0,True,44→47
47,44,2,22.7668,0.0,True,47→44
44,48,2,15.8613,0.0,True,44→48
48,44,2,26.3776,0.0,True,48→44
45,46,1,28.7459,0.0,True,45→46
46,45,1,24.0147,1e-05,True,46→45
45,47,2,22.3342,0.0,True,45→47
47,45,1,25.7444,0.0,True,47→45
45,48,2,16.0456,0.0,True,45→48
48,45,1,21.5032,2e-05,True,48→45
45,49,2,16.5464,0.0,True,45→49
49,45,3,11.4158,0.0,True,49→45
46,47,2,20.2248,0.0,True,46→47
47,46,1,30.0303,0.0,True,47→46
46,48,2,13.2413,2e-05,True,46→48
48,46,1,31.4605,0.0,True,48→46
46,49,2,11.6764,5e-05,True,46→49
49,46,2,21.0511,0.0,True,49→46
47,48,2,14.7652,1e-05,True,47→48
48,47,2,21.4159,0.0,True,48→47
47,49,2,15.3592,0.0,True,47→49
49,47,2,18.0955,0.0,True,49→47
48,49,2,15.2739,0.0,True,48→49
49,48,2,16.5381,0.0,True,49→48
49,50,2,21.8082,0.0,True,49→50
50,49,2,12.8136,2e-05,True,50→49
51,55,2,29.7,0.0,True,51→55
55,51,2,30.8589,0.0,True,55→51
51,58,2,15.8451,0.0,True,51→58
58,51,2,35.2753,0.0,True,58→51
51,60,2,29.1447,0.0,True,51→60
60,51,2,30.8619,0.0,True,60→51
51,71,2,18.4296,0.0,True,51→71
71,51,2,32.8529,0.0,True,71→51
51,104,2,30.3252,0.0,True,51→104
104,51,2,33.7531,0.0,True,104→51
51,107,2,17.1585,0.0,True,51→107
107,51,2,30.7982,0.0,True,107→51
51,109,1,29.9978,0.0,True,51→109
109,51,2,31.7936,0.0,True,109→51
52,53,2,32.0797,0.0,True,52→53
53,52,2,27.4984,0.0,True,53→52
52,54,2,27.4778,0.0,True,52→54
54,52,2,27.9634,0.0,True,54→52
52,55,2,27.8763,0.0,True,52→55
55,52,2,35.3425,0.0,True,55→52
52,56,2,15.4248,0.0,True,52→56
56,52,2,25.593,0.0,True,56→52
52,57,2,19.0614,0.0,True,52→57
57,52,2,35.3939,0.0,True,57→52
52,59,2,18.2747,0.0,True,52→59
59,52,2,36.5794,0.0,True,59→52
52,60,2,31.4613,0.0,True,52→60
60,52,2,29.0903,0.0,True,60→52
52,71,2,22.6716,0.0,True,52→71
71,52,2,27.6946,0.0,True,71→52
52,72,2,20.8823,0.0,True,52→72
72,52,2,29.491,0.0,True,72→52
52,80,2,15.4635,0.0,True,52→80
80,52,2,26.2491,0.0,True,80→52
52,121,2,21.5589,0.0,True,52→121
121,52,2,45.2237,0.0,True,121→52
52,122,2,25.5375,0.0,True,52→122
122,52,2,28.5184,0.0,True,122→52
52,123,2,26.3424,0.0,True,52→123
123,52,2,35.0235,0.0,True,123→52
52,124,2,19.8035,0.0,True,52→124
124,52,2,34.5003,0.0,True,124→52
52,125,3,15.6386,0.0,True,52→125
125,52,2,34.9654,0.0,True,125→52
52,126,2,15.9797,0.0,True,52→126
126,52,2,38.8744,0.0,True,126→52
52,127,2,24.2651,0.0,True,52→127
127,52,2,36.7587,0.0,True,127→52
52,128,2,33.9042,0.0,True,52→128
128,52,2,28.7455,0.0,True,128→52
52,129,2,28.156,0.0,True,52→129
129,52,2,32.6486,0.0,True,129→52
52,130,2,24.1875,0.0,True,52→130
130,52,2,40.0695,0.0,True,130→52
53,54,2,30.2582,0.0,True,53→54
54,53,2,39.33,0.0,True,54→53
53,55,2,30.5083,0.0,True,53→55
55,53,2,39.0285,0.0,True,55→53
53,56,2,12.409,3e-05,True,53→56
56,53,2,35.428,0.0,True,56→53
53,57,2,22.1769,0.0,True,53→57
57,53,2,34.5873,0.0,True,57→53
53,59,2,18.7455,0.0,True,53→59
59,53,2,30.4168,0.0,True,59→53
53,60,2,31.4451,0.0,True,53→60
60,53,2,31.4944,0.0,True,60→53
53,121,2,17.6399,0.0,True,53→121
121,53,2,42.0955,0.0,True,121→53
53,122,2,28.2513,0.0,True,53→122
122,53,2,29.0131,0.0,True,122→53
53,123,2,17.4904,0.0,True,53→123
123,53,2,34.4829,0.0,True,123→53
