state,district_name,population,literate_pop,working_pop,urban_percentage,literacy_rate,district_id
Jammu And Kashmir,Srinagar,50895.0,27459.0,18791.0,37.2,54.0,234
Jammu And Kashmir,Udhampur,462146.0,231432.0,223511.0,20.9,50.1,235
Jammu And Kashmir,Unknown Districts Of India,1016506.0,593610.0,324581.0,98.3,58.4,236
Jharkhand,Bokaro,1777662.0,923150.0,509310.0,45.3,51.9,237
Jharkhand,Chatra,798396.0,272061.0,301501.0,5.3,34.1,238
Jharkhand,Deoghar,1121626.0,446680.0,419691.0,13.0,39.8,239
Jharkhand,Dhanbad,1677514.0,909656.0,486775.0,35.1,54.2,240
Jharkhand,Dumka,1106521.0,421322.0,517935.0,5.3,38.1,241
Jharkhand,East Singhbum,1982988.0,1169213.0,692664.0,55.0,59.0,242
Jharkhand,Garhwa,1025202.0,312752.0,398855.0,4.2,30.5,243
Jharkhand,Giridih,1905343.0,667741.0,645082.0,6.4,35.0,244
Jharkhand,Godda,1047939.0,363825.0,421941.0,3.5,34.7,245
Jharkhand,Gumla,832447.0,343581.0,392751.0,4.8,41.3,246
Jharkhand,Hazaribagh,1388620.0,615034.0,501771.0,13.8,44.3,247
Jharkhand,Jamtara,653081.0,269512.0,260443.0,8.5,41.3,248
Jharkhand,Khunti,434819.0,182559.0,217667.0,6.7,42.0,249
Jharkhand,Koderma,540901.0,220077.0,191698.0,16.0,40.7,250
Jharkhand,Latehar,560894.0,179937.0,236453.0,4.7,32.1,251
Jharkhand,Lohardaga,364521.0,156710.0,153373.0,12.7,43.0,252
Jharkhand,Pakur,701664.0,170931.0,309575.0,5.1,24.4,253
Jharkhand,Palamu,1508660.0,558622.0,548287.0,6.5,37.0,254
Jharkhand,Ramgarh,820506.0,428103.0,264412.0,41.1,52.2,255
Jharkhand,Ranchi,2350245.0,1317982.0,859237.0,40.4,56.1,256
Jharkhand,Sahebganj,927770.0,275829.0,388045.0,10.6,29.7,257
Jharkhand,Saraikela Kharsawan,838283.0,381504.0,346148.0,17.8,45.5,258
Jharkhand,Simdega,514320.0,224653.0,266170.0,6.6,43.7,259
Jharkhand,Unknown Districts Of India,18976.0,12010.0,4347.0,0.0,63.3,260
Jharkhand,West Singhbhum,1229994.0,465946.0,567755.0,15.2,37.9,261
Karnataka,Bagalkote,1651892.0,794785.0,719659.0,29.0,48.1,262
